sampling9_fold1,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
sampling10_fold0,0.0007,0.0007,0.0007,0.0007,0.0007,0.0008,0.0008,0.0007,0.0008,0.0008,,,,,,,,
sampling10_fold1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,
sampling11_fold0,0.0004,0.0004,0.0005,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,,
sampling11_fold1,0.0101,0.0099,0.008,0.0093,0.0101,0.0084,0.0071,0.0094,0.0068,0.0089,,,,,,,,
sampling12_fold0,0.0006,0.0006,0.0006,0.0006,0.0006,0.0005,0.0006,0.0005,0.0006,0.0005,,,,,,,,
sampling12_fold1,0.0019,0.0019,0.002,0.0022,0.0021,0.002,0.0019,0.002,0.0019,0.0023,0.002,0.0021,0.002,0.0018,0.002,,,
sampling13_fold0,0.0013,0.0013,0.0013,0.0013,0.0012,0.0013,0.0014,0.0013,,,,,,,,,,
sampling13_fold1,0.003,0.0027,0.0029,0.003,0.0029,0.0028,0.0029,0.0029,0.003,0.003,0.0026,0.003,0.0029,0.003,0.0032,0.003,0.0033,
sampling14_fold0,0.0017,0.0016,0.0018,0.0019,0.0016,0.0018,0.0018,0.0017,0.0017,0.0017,0.0018,0.0018,0.0018,,,,,
sampling14_fold1,0.0036,0.004,0.004,0.0036,0.0041,0.0038,0.0037,0.0041,0.0039,0.0038,0.0038,0.0042,,,,,,
sampling15_fold0,0.0002,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,,,,,,,
sampling15_fold1,0.0008,0.0008,0.0008,0.0007,0.0008,0.0008,0.0008,0.0008,0.0008,0.0007,0.0008,0.0008,0.0007,0.0008,,,,
sampling16_fold0,0.001,0.0011,0.0011,0.0011,0.0011,0.0011,0.001,0.0011,0.001,0.0011,0.0011,,,,,,,
sampling16_fold1,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,,,,
sampling17_fold0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,,,,,
sampling17_fold1,0.0007,0.0006,0.0007,0.0006,0.0006,0.0006,0.0007,0.0007,0.0007,0.0006,0.0007,0.0007,0.0006,,,,,
sampling18_fold0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,
sampling18_fold1,0.0015,0.0015,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0015,0.0015,0.0016,0.0015,,,,,,
sampling19_fold0,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003,0.0004,0.0003,0.0004,0.0004,0.0003,,,,,
sampling19_fold1,0.0012,0.0011,0.0013,0.0011,0.0013,0.0012,0.0012,0.0013,0.0012,0.0012,0.0012,0.0012,,,,,,
sampling20_fold0,0.0018,0.0019,0.0018,0.0018,0.0018,0.0019,0.0018,0.0018,0.0018,0.0019,0.0018,,,,,,,
sampling20_fold1,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,,,,
sampling21_fold0,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,,,
sampling21_fold1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,
sampling22_fold0,0.0023,0.0023,0.0022,0.0023,0.002,0.002,0.0024,0.0022,0.0023,0.0021,0.0021,0.0024,,,,,,
sampling22_fold1,0.0012,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0012,0.0012,0.0011,0.0011,0.0012,0.0011,,,,,
sampling23_fold0,0.0019,0.002,0.0019,0.002,0.0021,0.002,0.0019,0.002,0.002,0.0019,0.002,0.002,,,,,,
sampling23_fold1,0.0007,0.0007,0.0007,0.0007,0.0008,0.0006,0.0007,0.0007,0.0007,0.0007,0.0008,0.0008,0.0007,,,,,
sampling24_fold0,0.0033,0.0035,0.0031,0.0034,0.0035,0.0035,0.0035,0.0035,0.0035,0.0034,0.0034,0.0033,,,,,,
sampling24_fold1,0.0005,0.0005,0.0005,0.0004,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,,,,,
sampling25_fold0,0.0028,0.003,0.0032,0.003,0.0029,0.0028,0.003,0.0029,0.0031,0.0029,0.0029,,,,,,,
sampling25_fold1,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,0.0005,0.0005,0.0005,0.0005,0.0005,0.0006,,,,
sampling26_fold0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,
sampling26_fold1,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.001,,,,,,,
sampling27_fold0,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,,,,,,
sampling27_fold1,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,,,
