run,sen,spe,fn,fp,acc
sampling32_fold0,0.0625,1.0,0.9375,0.0,0.6511627906976745
sampling32_fold1,0.1,1.0,0.9,0.0,0.5813953488372093
sampling33_fold0,0.0,1.0,1.0,0.0,0.46511627906976744
sampling33_fold1,0.3076923076923077,1.0,0.6923076923076923,0.0,0.7906976744186046
sampling34_fold0,0.21052631578947367,1.0,0.7894736842105263,0.0,0.6511627906976745
sampling34_fold1,0.47058823529411764,1.0,0.5294117647058824,0.0,0.7906976744186046
sampling35_fold0,0.14285714285714285,1.0,0.8571428571428571,0.0,0.5813953488372093
sampling35_fold1,0.5333333333333333,0.9642857142857143,0.4666666666666667,0.03571428571428571,0.813953488372093
sampling36_fold0,0.2,1.0,0.8,0.0,0.627906976744186
sampling36_fold1,1.0,0.07407407407407407,0.0,0.9259259259259259,0.4186046511627907
